name,student_ID,cum_gpa,major,classification,earned_credits,enrolled,email,gender,in_state
"Mineghelli, Adella",M70594227,1.6,Mathematics,Senior,134,Yes,amineghelliz@cbc.ca,Female,No
"McNeil, Kip",M87512731,2.144,Biology,Junior,132,Yes,kmcneil10@marriott.com,Female,No
"Snuggs, Grenville",M28091164,0.431,Mathematics,Sophomore,150,Yes,gsnuggs11@issuu.com,Male,Yes
"Getten, Flory",M77726316,1.152,Biology,Senior,62,Yes,fgetten12@vimeo.com,Male,No
"Trimmill, Rinaldo",M73849632,1.118,Biology,Sophomore,2,Yes,rtrimmill13@photobucket.com,Male,Yes
"Brend, Ingrim",M30400945,3.393,Mathematics,Freshman,130,Yes,ibrend14@aboutads.info,Male,Yes
"Titchener, Allx",M20719252,3.472,Biology,Senior,135,Yes,atitchener15@tripod.com,Female,No
"Elce, Dare",M29888327,0.471,Psychology,Senior,137,Yes,delce16@army.mil,Male,No
"Yetton, Theresina",M35092741,2.877,Mathematics,Senior,82,Yes,tyetton17@fda.gov,Female,Yes
"Wyburn, Amitie",M99975522,2.361,Mathematics,Freshman,71,Yes,awyburn18@hc360.com,Female,Yes
"January, Benton",M78222304,3.578,Computer Science,Freshman,49,Yes,bjanuary19@ow.ly,Male,Yes
"Roby, Ignacio",M71932861,0.199,Mathematics,Junior,37,Yes,iroby1a@imdb.com,Male,Yes
"Creeboe, Graehme",M57027848,1.386,Computer Science,Sophomore,112,Yes,gcreeboe1b@arstechnica.com,Male,No
"Ilyunin, Shawn",M45329544,3.913,Psychology,Junior,104,Yes,silyunin1c@elpais.com,Female,Yes
"Shortin, Saraann",M93079235,1.235,Computer Science,Senior,143,Yes,sshortin1d@discovery.com,Female,Yes
"Deinhard, Byrom",M36641424,2.987,Computer Science,Senior,53,Yes,bdeinhard1e@rambler.ru,Male,Yes
"Brackpool, Skipper",M23888852,0.997,Computer Science,Sophomore,75,Yes,sbrackpool1f@cornell.edu,Male,Yes
"Ismay, Bald",M21561913,2.896,Computer Science,Freshman,74,Yes,bismay1g@google.ca,Male,No
"Phythien, Bastian",M67168521,3.175,Biology,Freshman,36,Yes,bphythien1h@quantcast.com,Male,No
"Kilty, Gerta",M73942177,1.19,Computer Science,Junior,26,Yes,gkilty1i@simplemachines.org,Female,Yes
"Spalls, Loralyn",M38857163,1.799,Computer Science,Junior,40,Yes,lspalls1j@networkadvertising.org,Female,Yes
"Hourigan, Lanna",M96362756,1.361,Computer Science,Senior,10,Yes,lhourigan1k@netscape.com,Female,No
"Pretswell, Caldwell",M97222621,2.83,Computer Science,Freshman,97,Yes,cpretswell1l@nba.com,Male,Yes
"Laity, Barnabas",M97317912,1.741,Computer Science,Freshman,51,Yes,blaity1m@huffingtonpost.com,Male,No
"Heaven, Clemens",M31291297,1.531,Biology,Senior,4,Yes,cheaven1n@google.de,Male,Yes
"Mathiassen, Terri",M76744961,2.091,Biology,Sophomore,137,Yes,tmathiassen1o@dropbox.com,Male,No
"Roache, Blaire",M31851538,3.893,Mathematics,Senior,145,Yes,broache1p@globo.com,Female,No
"Cleary, Tabbi",M50047308,3.858,Psychology,Senior,82,Yes,tcleary1q@arizona.edu,Female,Yes
"Ellinor, Natalie",M80829903,3.876,Biology,Sophomore,141,Yes,nellinor1r@berkeley.edu,Female,No
"Walklott, Lenka",M41207212,0.382,Psychology,Sophomore,69,Yes,lwalklott1s@dion.ne.jp,Female,Yes
"Cowie, Marje",M80657942,0.163,Psychology,Freshman,14,Yes,mcowie1t@illinois.edu,Female,No
"Halso, Julita",M90188159,2.126,Biology,Senior,129,Yes,jhalso1u@thetimes.co.uk,Female,Yes
"Etock, Alie",M63309841,1.064,Biology,Junior,83,Yes,aetock1v@homestead.com,Female,Yes
"Sedman, Nicolina",M20001707,0.229,Mathematics,Freshman,95,Yes,nsedman1w@scribd.com,Female,Yes
"Grisewood, Issiah",M79247848,1.641,Psychology,Junior,94,No,igrisewood1x@technorati.com,Male,Yes
"Smiley, Valle",M75309634,3.436,Biology,Senior,33,No,vsmiley1y@nsw.gov.au,Male,No
"Pero, Helenka",M48204169,1.447,Psychology,Sophomore,13,Yes,hpero1z@free.fr,Female,Yes
"Shadfourth, Lynnet",M81501295,2.549,Mathematics,Freshman,18,Yes,lshadfourth20@ebay.co.uk,Female,No
"Kiloh, Trix",M84650285,1.964,Psychology,Senior,123,No,tkiloh21@macromedia.com,Female,No
"Anderbrugge, Solomon",M98792649,2.52,Mathematics,Junior,49,Yes,sanderbrugge22@hexun.com,Male,Yes
"Sogg, Patric",M24426175,3.107,Mathematics,Sophomore,41,Yes,psogg23@unicef.org,Male,No
"Alderwick, Muffin",M23544948,2.272,Computer Science,Sophomore,103,Yes,malderwick24@va.gov,Male,No
"Davers, Aron",M64627114,4,Psychology,Sophomore,112,No,adavers25@printfriendly.com,Male,Yes
"Ollin, Cristabel",M25409418,0.561,Biology,Junior,3,No,collin26@trellian.com,Female,No
"Wibberley, Korry",M96803086,1.278,Psychology,Sophomore,148,No,kwibberley27@webnode.com,Female,Yes
"Piotrkowski, Dalenna",M61383205,3.019,Psychology,Junior,82,Yes,dpiotrkowski28@ucoz.ru,Female,Yes
"McNeillie, Melicent",M26926050,0.045,Computer Science,Freshman,114,Yes,mmcneillie29@paginegialle.it,Female,Yes
"Girardini, Claudelle",M60705555,2.863,Computer Science,Freshman,65,No,cgirardini2a@github.io,Female,No
"Long, Moria",M21683855,2.127,Mathematics,Freshman,124,Yes,mlong2b@cargocollective.com,Female,No
"Di Boldi, Orran",M63442088,3.099,Computer Science,Freshman,98,Yes,odiboldi2c@amazonaws.com,Male,No
"Serot, Ted",M37995488,2.864,Psychology,Sophomore,10,No,tserot2d@mac.com,Male,No
"Laws, Rosita",M59652589,3.034,Psychology,Junior,10,No,rlaws2e@youtube.com,Female,No
"Bodill, Ray",M34624801,3.434,Mathematics,Freshman,74,Yes,rbodill2f@freewebs.com,Male,No
"Leupold, Alyson",M54852471,0.462,Psychology,Sophomore,141,Yes,aleupold2g@si.edu,Female,No
"Duckers, Nadeen",M41514545,1.934,Computer Science,Senior,53,No,nduckers2h@netscape.com,Female,Yes
"Keoghan, Arnaldo",M69154213,3.826,Psychology,Senior,77,No,akeoghan2i@cnet.com,Male,No
"Le Prevost, Orlan",M25940496,2.702,Computer Science,Sophomore,111,Yes,oleprevost2j@ow.ly,Male,Yes
"Dury, Moyra",M29047482,3.421,Biology,Sophomore,83,No,mdury2k@discuz.net,Female,No
"Beecham, Deny",M85983494,2.66,Mathematics,Sophomore,73,Yes,dbeecham2l@desdev.cn,Female,No
"Birdseye, Arabela",M77299886,2.397,Mathematics,Junior,44,No,abirdseye2m@bbb.org,Female,Yes
"Pettersen, Maxwell",M72187777,0.039,Biology,Freshman,50,Yes,mpettersen2n@berkeley.edu,Male,No
"Littleover, Hamel",M86334059,2.976,Biology,Junior,128,No,hlittleover2o@deliciousdays.com,Male,Yes
"Mate, Meggi",M85689121,3.087,Biology,Sophomore,125,Yes,mmate2p@ft.com,Female,No
"Yarrell, Wald",M69548111,0.949,Biology,Freshman,10,Yes,wyarrell2q@accuweather.com,Male,No
"Rabbe, Petr",M44966341,0.168,Mathematics,Junior,25,No,prabbe2r@opensource.org,Male,No
"Winnister, Cathrin",M89707278,1.93,Biology,Junior,54,No,cwinnister2s@naver.com,Female,No
"Klamman, Tomasina",M26693903,3.404,Computer Science,Sophomore,18,Yes,tklamman2t@addthis.com,Female,Yes
"Camelia, Elijah",M72820111,1.458,Psychology,Senior,17,Yes,ecamelia2u@psu.edu,Male,No
"O'Scanlan, Claude",M38995051,0.689,Computer Science,Freshman,89,No,coscanlan2v@mozilla.org,Female,Yes
"Varndell, Damita",M43112302,3.066,Psychology,Sophomore,122,No,dvarndell2w@aol.com,Female,No
"Fruin, Vittorio",M53460548,3.918,Mathematics,Freshman,68,No,vfruin2x@shinystat.com,Male,No
"Bassford, Taite",M82010322,3.148,Mathematics,Freshman,70,Yes,tbassford2y@state.tx.us,Male,Yes
"Cauley, Sydney",M91867105,2.794,Psychology,Sophomore,95,No,scauley2z@elpais.com,Male,Yes
"Sheasby, Jillayne",M58488236,2.96,Biology,Senior,87,No,jsheasby30@drupal.org,Female,Yes
"Whisker, Gregory",M50332076,3.13,Psychology,Senior,136,No,gwhisker31@accuweather.com,Male,No
"Lelliott, Dorelia",M49315516,0.732,Computer Science,Junior,70,No,dlelliott32@howstuffworks.com,Female,Yes
"Ripping, Wait",M52024442,3.045,Mathematics,Senior,119,Yes,wripping33@lulu.com,Male,No
"Climie, Bud",M86448183,3.235,Computer Science,Junior,57,No,bclimie34@facebook.com,Male,No
"Nodes, Bran",M52590777,1.386,Psychology,Junior,77,No,bnodes35@desdev.cn,Male,Yes
"Dufer, Violette",M46996182,1.172,Computer Science,Freshman,10,No,vdufer36@prlog.org,Female,Yes
"Spurnier, Georgy",M67540012,3.641,Computer Science,Junior,105,Yes,gspurnier37@google.pl,Male,No
"Scough, Zeb",M96009555,0.94,Mathematics,Sophomore,134,Yes,zscough38@technorati.com,Male,No
"Cinderey, Shae",M28737775,1.094,Psychology,Sophomore,30,No,scinderey39@google.es,Male,Yes
"d'Escoffier, Karola",M24878031,0.683,Computer Science,Freshman,104,No,kdescoffier3a@wp.com,Female,Yes
"Gilston, Barde",M71107300,1.112,Mathematics,Sophomore,8,No,bgilston3b@marriott.com,Male,No
"Eastcourt, Shelby",M59213038,3.521,Computer Science,Freshman,79,Yes,seastcourt3c@yahoo.co.jp,Male,No
"Asey, Cecil",M82151086,3.505,Psychology,Sophomore,80,Yes,casey3d@buzzfeed.com,Female,No
"Bardnam, Rachele",M42294212,2.298,Computer Science,Junior,134,Yes,rbardnam3e@timesonline.co.uk,Female,Yes
"Aylin, Jenilee",M27739983,3.255,Biology,Sophomore,102,Yes,jaylin3f@devhub.com,Female,Yes
"Capper, Roarke",M53851991,2.937,Biology,Junior,63,No,rcapper3g@i2i.jp,Male,No
"Benfield, Nealon",M62512998,3.52,Psychology,Senior,32,No,nbenfield3h@paypal.com,Male,Yes
"Zuenelli, Chan",M58353576,2.277,Biology,Sophomore,87,Yes,czuenelli3i@theglobeandmail.com,Male,Yes
"Elderidge, Lindi",M21373708,1.301,Computer Science,Junior,10,No,lelderidge3j@slashdot.org,Female,No
"Sewell, Haleigh",M80077727,0.455,Mathematics,Sophomore,85,No,hsewell3k@last.fm,Male,No
"Lawless, Beverie",M30744298,0.869,Computer Science,Sophomore,109,No,blawless3l@springer.com,Female,No
"De Micoli, Davin",M84266098,1.515,Biology,Freshman,57,Yes,ddemicoli3m@creativecommons.org,Male,Yes
"Klasen, Ellissa",M72207831,3.967,Computer Science,Junior,138,Yes,eklasen3n@nature.com,Female,No
"Matches, Tobye",M74720215,2.39,Computer Science,Sophomore,30,Yes,tmatches3o@ebay.com,Female,No
"Ortas, Walliw",M56858678,2.261,Computer Science,Senior,17,No,wortas3p@list-manage.com,Female,No
"Paviour, Sheri",M37168015,1.8,Psychology,Freshman,19,Yes,spaviour3q@reverbnation.com,Female,No
"Ibbetson, Ringo",M20991174,2.614,Mathematics,Sophomore,22,No,ribbetson3r@va.gov,Male,No
"Montier, Valli",M74732815,3.752,Psychology,Senior,139,No,vmontier3s@tinyurl.com,Female,Yes
"Coultous, Keelby",M21660997,2.436,Psychology,Junior,52,Yes,kcoultous3t@sitemeter.com,Male,No
"Castagnasso, Samson",M20260532,1.737,Psychology,Senior,23,No,scastagnasso3u@friendfeed.com,Male,Yes
"Woolmington, Nichole",M30833774,2.304,Psychology,Freshman,1,Yes,nwoolmington3v@people.com.cn,Male,Yes
"Michieli, Selby",M28641306,3.004,Psychology,Junior,72,No,smichieli3w@businessweek.com,Male,Yes
"Le Breton De La Vieuville, Charissa",M41131634,0.288,Biology,Senior,53,Yes,clebretondelavieuville3x@stumbleupon.com,Female,Yes
"Crozier, Mikael",M79968312,2.224,Mathematics,Sophomore,39,No,mcrozier3y@scribd.com,Male,Yes
"Reid, Dot",M85172444,2.805,Mathematics,Senior,103,Yes,dreid3z@angelfire.com,Female,Yes
"Fratson, Clemmie",M97373665,1.309,Biology,Senior,24,Yes,cfratson40@mashable.com,Male,Yes
"Swaton, Hillery",M33093416,3.527,Computer Science,Senior,50,No,hswaton41@archive.org,Male,No
"Philippault, Verney",M22665818,3.102,Mathematics,Freshman,69,Yes,vphilippault42@boston.com,Male,Yes
"Silley, Konstanze",M26890249,1.306,Mathematics,Junior,46,No,ksilley43@slate.com,Female,No
"Bickerton, Pearline",M85509322,0.124,Mathematics,Junior,71,Yes,pbickerton44@comcast.net,Female,Yes
"Tuxell, Carmina",M91000769,2.176,Biology,Junior,40,Yes,ctuxell45@list-manage.com,Female,No
"Whawell, Clo",M66790929,3.665,Computer Science,Senior,108,Yes,cwhawell46@ted.com,Female,No
"Morrant, Lindsey",M76959526,0.683,Psychology,Junior,92,Yes,lmorrant47@arizona.edu,Female,No
"Callf, Hurlee",M39581411,3.091,Psychology,Junior,106,Yes,hcallf48@msu.edu,Male,No
"Neale, Alexandrina",M84893441,1.393,Psychology,Freshman,38,No,aneale49@twitter.com,Female,No
"Hanway, Carolynn",M71072901,2.247,Mathematics,Junior,110,No,chanway4a@is.gd,Female,Yes
"Ipsgrave, Betty",M47526112,2.183,Mathematics,Junior,26,No,bipsgrave4b@usa.gov,Female,No
"Lewtey, Adelina",M54908269,2.122,Biology,Senior,58,Yes,alewtey4c@paginegialle.it,Female,No
"Hufton, Marylin",M20242582,2.204,Computer Science,Freshman,47,Yes,mhufton4d@booking.com,Female,Yes
"Kornacki, Gavan",M90383600,3.442,Psychology,Junior,79,Yes,gkornacki4e@time.com,Male,No
"Simcock, Gradeigh",M21611442,3.766,Computer Science,Senior,120,Yes,gsimcock4f@businessinsider.com,Male,No
"Inglesant, Somerset",M82389876,2.265,Biology,Freshman,98,No,singlesant4g@hatena.ne.jp,Male,Yes
"Jacobovitch, Karoly",M81629068,2.147,Mathematics,Senior,44,Yes,kjacobovitch4h@msn.com,Male,No
"Roddie, Jarrad",M35923495,3.241,Mathematics,Freshman,43,Yes,jroddie4i@rakuten.co.jp,Male,Yes
"Gannicott, Angela",M93547111,0.264,Psychology,Senior,61,Yes,agannicott4j@baidu.com,Female,No
"Creus, Alex",M69158321,2.368,Psychology,Junior,54,No,acreus4k@privacy.gov.au,Male,Yes
"Moreing, Belita",M98121712,1.812,Mathematics,Sophomore,63,Yes,bmoreing4l@reverbnation.com,Female,No
"Dri, Wilek",M20487422,2.956,Computer Science,Sophomore,138,No,wdri4m@cnbc.com,Male,No
"Paladini, Lannie",M78687866,2.115,Mathematics,Junior,129,Yes,lpaladini4n@yahoo.com,Male,Yes
"Woolward, Caz",M54188783,0.879,Biology,Sophomore,25,Yes,cwoolward4o@go.com,Male,No
"McGaugey, Eloisa",M44091643,3.92,Computer Science,Freshman,48,No,emcgaugey4p@samsung.com,Female,Yes
"Loft, Marijo",M72786915,0.575,Computer Science,Sophomore,122,Yes,mloft4q@friendfeed.com,Female,Yes
"Risbridge, Cullan",M29040867,3.502,Mathematics,Sophomore,131,No,crisbridge4r@nba.com,Male,No
"Whittall, Rhett",M38228845,3.451,Computer Science,Sophomore,98,Yes,rwhittall4s@elpais.com,Male,Yes
"Beaufoy, Blinny",M32722000,3.158,Mathematics,Sophomore,76,Yes,bbeaufoy4t@usatoday.com,Female,Yes
"Tame, Jocko",M87642361,3.329,Computer Science,Junior,107,No,jtame4u@sitemeter.com,Male,No
"Pacht, Angie",M62934719,1.345,Computer Science,Junior,40,No,apacht4v@bandcamp.com,Male,No
"Rumbellow, Mitch",M40401684,1.564,Computer Science,Sophomore,30,Yes,mrumbellow4w@naver.com,Male,No
"Trobey, Saree",M60358436,0.444,Biology,Freshman,9,Yes,strobey4x@php.net,Female,Yes
"Bucklee, Benjamen",M47903330,3.822,Mathematics,Sophomore,3,No,bbucklee4y@indiatimes.com,Male,No
"Bennet, Junia",M42284435,2.383,Psychology,Junior,122,No,jbennet4z@google.it,Female,No
"Jerzyk, Weber",M28944657,2.312,Psychology,Junior,30,No,wjerzyk50@sphinn.com,Male,Yes
"Zavattari, Philly",M94496938,0.002,Biology,Junior,46,No,pzavattari51@go.com,Female,Yes
"Alloisi, Zolly",M70739889,2.72,Mathematics,Freshman,54,Yes,zalloisi52@ox.ac.uk,Male,No
"MacGauhy, Shoshana",M22986301,1.658,Computer Science,Sophomore,58,No,smacgauhy53@samsung.com,Female,Yes
"Adney, Haywood",M88906082,1.134,Biology,Junior,51,Yes,hadney54@house.gov,Male,No
"Marten, Kalina",M98971735,2.882,Mathematics,Sophomore,113,No,kmarten55@geocities.jp,Female,Yes
"Yushmanov, Donalt",M78585101,2.956,Computer Science,Sophomore,127,Yes,dyushmanov56@list-manage.com,Male,No
"Dashper, Osbert",M27734069,0.715,Psychology,Sophomore,94,Yes,odashper57@nationalgeographic.com,Male,Yes
"Kembley, Torrence",M68181872,3.361,Mathematics,Junior,84,No,tkembley58@feedburner.com,Male,Yes
"Gladdis, Callean",M85793948,3.327,Computer Science,Senior,68,Yes,cgladdis59@redcross.org,Male,No
"Packe, Agnese",M60296097,1.999,Biology,Sophomore,12,No,apacke5a@merriam-webster.com,Female,Yes
"Rundle, Ericha",M29721193,3.76,Mathematics,Sophomore,92,Yes,erundle5b@umn.edu,Female,Yes
"Yurshev, Enrichetta",M34073583,1.42,Mathematics,Freshman,128,Yes,eyurshev5c@youku.com,Female,No
"Sell, Brenda",M76038128,3.925,Psychology,Freshman,141,No,bsell5d@slideshare.net,Female,Yes
"Dally, Sarita",M75421041,2.874,Biology,Senior,11,Yes,sdally5e@cmu.edu,Female,No
"Cudmore, Michel",M90352426,0.078,Biology,Senior,9,Yes,mcudmore5f@cargocollective.com,Male,No
"Toomey, Cassandry",M57247276,0.745,Biology,Senior,147,Yes,ctoomey5g@microsoft.com,Female,No
"Foxen, Nona",M33751184,2.544,Biology,Junior,96,Yes,nfoxen5h@gizmodo.com,Female,No
"Boundy, Sven",M95021086,4,Biology,Freshman,41,Yes,sboundy5i@wikispaces.com,Male,No
"Edmenson, Kevina",M74590190,1.222,Biology,Senior,127,Yes,kedmenson5j@drupal.org,Female,Yes
"Ghelardoni, Katharina",M97344317,3.599,Psychology,Senior,121,No,kghelardoni5k@google.com.br,Female,No
"Melbourne, Florina",M93985809,2.637,Mathematics,Junior,116,Yes,fmelbourne5l@wsj.com,Female,Yes
"Craze, Rafaelita",M65644091,1.731,Biology,Junior,129,Yes,rcraze5m@plala.or.jp,Female,No
"Lighton, Codi",M97778134,0.825,Biology,Junior,110,No,clighton5n@sciencedaily.com,Male,Yes
"Jenson, Gayle",M60406628,2.899,Mathematics,Freshman,5,No,gjenson5o@smugmug.com,Female,No
"McCart, Candice",M88024288,3.284,Mathematics,Sophomore,11,Yes,cmccart5p@pagesperso-orange.fr,Female,Yes
"Kemston, Ermentrude",M92439056,1.973,Mathematics,Sophomore,135,Yes,ekemston5q@csmonitor.com,Female,Yes
"Lyngsted, Jennette",M42941123,2.938,Computer Science,Senior,71,Yes,jlyngsted5r@i2i.jp,Female,Yes
"Guinness, Tristan",M26560631,0.242,Biology,Senior,117,No,tguinness5s@state.tx.us,Male,No
"Maffucci, Warner",M62547545,3.318,Biology,Junior,62,No,wmaffucci5t@issuu.com,Male,No
"Durning, Georgianne",M42722852,0.892,Computer Science,Freshman,65,No,gdurning5u@google.ca,Female,Yes
"Heakins, Tabor",M42928650,2.731,Mathematics,Senior,61,Yes,theakins5v@a8.net,Male,No
"Ashleigh, Demetris",M74443036,0.972,Biology,Freshman,56,Yes,dashleigh5w@webs.com,Male,Yes
"Cowdrey, Amberly",M31909039,3.307,Biology,Junior,42,No,acowdrey5x@ehow.com,Female,Yes
"Sullivan, Lemuel",M33672290,1.908,Mathematics,Sophomore,1,Yes,lsullivan5y@qq.com,Male,No
"Bessell, Matteo",M74190144,3.406,Mathematics,Sophomore,101,Yes,mbessell5z@google.com.hk,Male,No
"Witt, Rozalie",M79854864,0.629,Biology,Freshman,49,Yes,rwitt60@imageshack.us,Female,No
"Quarry, Kriste",M75477504,0.979,Computer Science,Junior,108,No,kquarry61@51.la,Female,No
"Castelluzzi, Mellisent",M75516569,1.137,Mathematics,Freshman,113,Yes,mcastelluzzi62@spotify.com,Female,No
"Marcone, Serene",M80932537,2.086,Computer Science,Junior,126,No,smarcone63@engadget.com,Female,No
"Calam, Douglas",M64578109,2.35,Biology,Freshman,97,No,dcalam64@w3.org,Male,Yes
"Ions, Susanne",M56117474,1.774,Psychology,Freshman,112,No,sions65@army.mil,Female,Yes
"Lettice, Findley",M74556847,3.387,Computer Science,Sophomore,93,Yes,flettice66@ask.com,Male,No
"Bernardos, Sheffie",M42879829,1.653,Psychology,Senior,12,Yes,sbernardos67@google.com.au,Male,Yes
"Studart, Ange",M38184512,1.891,Biology,Sophomore,96,Yes,astudart68@phoca.cz,Male,Yes
"Gosdin, Chrissie",M93906447,3.421,Biology,Junior,149,No,cgosdin69@constantcontact.com,Female,No
"Castellino, Gilberta",M42628296,0.116,Mathematics,Senior,65,Yes,gcastellino6a@domainmarket.com,Female,Yes
"Monkton, Hussein",M42249708,1.269,Biology,Freshman,121,No,hmonkton6b@domainmarket.com,Male,No
"Nazaret, Winn",M23230415,2.865,Biology,Senior,58,Yes,wnazaret6c@cyberchimps.com,Male,Yes
"Carillo, Flory",M94738640,2.632,Computer Science,Senior,33,No,fcarillo6d@nhs.uk,Female,No
"Jerschke, Kassi",M95517801,3.686,Mathematics,Sophomore,74,No,kjerschke6e@nifty.com,Female,No
"Glayzer, Joachim",M91378045,1.681,Computer Science,Senior,83,No,jglayzer6f@dailymotion.com,Male,No
"Fri, Fairlie",M83042201,3.764,Computer Science,Freshman,142,Yes,ffri6g@unblog.fr,Male,Yes
"Ghion, Valeria",M64502095,3.078,Mathematics,Junior,120,No,vghion6h@reverbnation.com,Female,No
"Roskam, Finlay",M38100049,2.426,Mathematics,Freshman,18,No,froskam6i@hibu.com,Male,No
"Zimmermeister, Torey",M70313161,3.108,Mathematics,Senior,18,No,tzimmermeister6j@instagram.com,Male,Yes
"Reavey, Leeann",M47223954,3.362,Computer Science,Sophomore,41,No,lreavey6k@google.com.hk,Female,Yes
"Smaile, Milty",M92233932,2.818,Biology,Freshman,27,No,msmaile6l@ameblo.jp,Male,No
"Carn, Stillmann",M98905302,0.287,Computer Science,Sophomore,91,Yes,scarn6m@mlb.com,Male,No
"Broggio, Damian",M56859444,1.175,Biology,Senior,61,Yes,dbroggio6n@scribd.com,Male,No
"Peeters, Jody",M74839328,1.42,Biology,Senior,57,No,jpeeters6o@europa.eu,Female,No
"MacDearmont, Marlo",M52095247,1.853,Biology,Sophomore,56,No,mmacdearmont6p@parallels.com,Male,No
"Toller, Emmit",M95545237,0.041,Psychology,Sophomore,65,No,etoller6q@reuters.com,Male,Yes
"Jakubowsky, Rycca",M32358663,0.411,Mathematics,Freshman,34,No,rjakubowsky6r@smh.com.au,Female,No
"Linster, Erhart",M88489706,3.52,Biology,Junior,112,Yes,elinster6s@123-reg.co.uk,Male,No
"Lesser, Moishe",M47616209,1.779,Computer Science,Sophomore,84,Yes,mlesser6t@netlog.com,Male,No
"Dovinson, Shanan",M57298894,3.649,Computer Science,Junior,95,Yes,sdovinson6u@delicious.com,Male,No
"Phythian, Farlee",M91736550,2.172,Computer Science,Junior,54,No,fphythian6v@admin.ch,Male,Yes
"Nolleth, Tann",M34546162,1.306,Biology,Junior,116,Yes,tnolleth6w@geocities.jp,Male,No
"Ralph, Stavro",M75526990,2.851,Mathematics,Junior,37,Yes,sralph6x@weebly.com,Male,Yes
"Stobbie, Margie",M57916524,3.356,Psychology,Freshman,61,Yes,mstobbie6y@thetimes.co.uk,Female,Yes
