name,student_ID,cum_gpa,major,classification,earned_credits,enrolled,email,gender,in_state
"Opdenort, Kylila",M95727772,1.929,Mathematics,Sophomore,104,No,kopdenort1t@cam.ac.uk,Female,No
"Ambrogiotti, Gwenny",M74228257,2.048,Mathematics,Junior,124,No,gambrogiotti1u@ucla.edu,Female,No
"Courtois, Stacee",M67653858,2.642,Mathematics,Sophomore,0,Yes,scourtois1v@digg.com,Male,Yes
"Jackling, Nathanial",M98213262,3.744,Mathematics,Freshman,59,Yes,njackling1w@spotify.com,Male,Yes
"Stutely, Manfred",M37669597,3.116,Biology,Sophomore,130,Yes,mstutely1x@nasa.gov,Male,No
"Karys, Tildi",M91686402,2.285,Psychology,Sophomore,69,Yes,tkarys1y@un.org,Female,Yes
"Crummay, Candis",M55563677,3.952,Biology,Sophomore,42,No,ccrummay1z@discuz.net,Female,No
"Rhodes, Khalil",M97709591,0.975,Computer Science,Sophomore,2,Yes,krhodes20@irs.gov,Male,Yes
"Aloshechkin, Moe",M55972754,2.356,Computer Science,Sophomore,34,Yes,maloshechkin21@google.com.br,Male,No
"Caldero, Lenci",M26086720,0.942,Mathematics,Freshman,35,Yes,lcaldero22@tumblr.com,Male,Yes
"Mitchelhill, Ugo",M92234794,1.668,Computer Science,Sophomore,32,Yes,umitchelhill23@drupal.org,Male,Yes
"Colvin, Bertie",M25464458,3.175,Mathematics,Sophomore,140,Yes,bcolvin24@nba.com,Male,No
"Grzeszczak, Chrissie",M94151722,1.177,Biology,Freshman,10,No,cgrzeszczak25@narod.ru,Male,No
"Foucher, Jethro",M29964698,2.063,Mathematics,Sophomore,98,Yes,jfoucher26@dell.com,Male,No
"Croizier, Amelina",M60278294,2.626,Computer Science,Sophomore,17,Yes,acroizier27@usda.gov,Female,No
"Redmire, Evangeline",M90315167,0.232,Computer Science,Junior,73,No,eredmire28@utexas.edu,Female,Yes
"Spawforth, Moria",M23983154,1.716,Biology,Junior,33,No,mspawforth29@weibo.com,Female,No
"Plesing, Isiahi",M38066802,3.295,Computer Science,Senior,69,Yes,iplesing2a@goo.gl,Male,Yes
"Eastbury, Myrtie",M66896629,1.603,Mathematics,Senior,9,No,meastbury2b@prlog.org,Female,No
"Kleinmintz, Hadlee",M49605475,3.232,Mathematics,Sophomore,67,Yes,hkleinmintz2c@independent.co.uk,Male,Yes
"Meaders, Inglebert",M89364200,1.83,Psychology,Senior,69,Yes,imeaders2d@wikia.com,Male,No
"Strothers, Madelyn",M59691276,2.857,Mathematics,Freshman,0,Yes,mstrothers2e@ibm.com,Female,No
"Manvelle, Welby",M24868467,1.269,Biology,Junior,35,Yes,wmanvelle2f@independent.co.uk,Male,No
"Kivelhan, Melonie",M25537746,2.847,Biology,Junior,85,No,mkivelhan2g@1688.com,Female,Yes
"Dwyr, Judas",M60753986,2.64,Mathematics,Freshman,100,No,jdwyr2h@noaa.gov,Male,No
"De Metz, Fonsie",M94662401,3.536,Psychology,Freshman,31,Yes,fdemetz2i@feedburner.com,Male,No
"Orgill, Nessy",M22465875,1.189,Mathematics,Freshman,132,No,norgill2j@home.pl,Female,No
"Litterick, Sheri",M53491794,2.271,Biology,Senior,73,No,slitterick2k@ycombinator.com,Female,Yes
"Jacqueme, Neala",M78241055,1.35,Mathematics,Freshman,87,Yes,njacqueme2l@blogspot.com,Female,No
"Kennion, Leese",M47314300,0.348,Biology,Sophomore,27,Yes,lkennion2m@quantcast.com,Female,No
"Mitchinson, Cly",M73145472,1.684,Mathematics,Freshman,23,No,cmitchinson2n@desdev.cn,Male,No
"Crownshaw, Mikael",M48678816,2.786,Psychology,Freshman,110,No,mcrownshaw2o@pbs.org,Male,Yes
"Buscombe, Darb",M86446760,2.984,Biology,Junior,66,No,dbuscombe2p@soundcloud.com,Male,Yes
"Keetch, Glenden",M61972890,3.967,Computer Science,Sophomore,118,Yes,gkeetch2q@qq.com,Male,No
"Peat, Massimiliano",M97061343,1.974,Mathematics,Senior,5,Yes,mpeat2r@blogspot.com,Male,No
